"","logW","E.logW","gap","SE.sim","W","K","Simulation"
"1",11.7110427549524,12.364362849819,0.653320094866578,0.00976841647430117,"1.1",1,1
"2",11.6493065910035,12.3365271325099,0.687220541506443,0.00987132654125072,"1.1",2,1
"3",11.6220300268941,12.3223439963576,0.70031396946356,0.0102302077247761,"1.1",3,1
"4",11.5971681886948,12.3081693980491,0.711001209354322,0.0104527992185837,"1.1",4,1
"5",11.5820739874383,12.291111831461,0.70903784402268,0.0107526906434001,"1.1",5,1
"6",11.5671341167886,12.2748358299669,0.707701713178341,0.0109343627837015,"1.1",6,1
"7",11.7110427549524,12.3659643989228,0.654921643970317,0.0126482266839161,"1.575",1,1
"8",11.6493065910035,12.3383133239387,0.689006732935272,0.0129570640180641,"1.575",2,1
"9",11.6220300268941,12.318044311017,0.69601428412291,0.0137063693444015,"1.575",3,1
"10",11.5971681886948,12.2994670829568,0.702298894261961,0.0140808533564,"1.575",4,1
"11",11.5635734283402,12.2832488154329,0.719675387092675,0.0143289194804832,"1.575",5,1
"12",11.5422010745688,12.2679269827693,0.725725908200531,0.0139878362407185,"1.575",6,1
"13",11.7110427549524,12.3626220756552,0.651579320702762,0.011213377584793,"2.05",1,1
"14",11.6168100044857,12.3353152228037,0.718505218318024,0.0113720752739949,"2.05",2,1
"15",11.5945706897651,12.3144349528012,0.719864263036103,0.0122793128571957,"2.05",3,1
"16",11.5779497153138,12.2948188233197,0.716869108005969,0.0124893048718893,"2.05",4,1
"17",11.5579375846706,12.2773747075822,0.719437122911629,0.0131255180722131,"2.05",5,1
"18",11.5380218861461,12.2604821570374,0.722460270891288,0.0130030203797861,"2.05",6,1
"19",11.7110427549524,12.3643928559287,0.653350100976247,0.0105145903890239,"2.525",1,1
"20",11.6078785492342,12.3369067387295,0.729028189495271,0.0108046651846936,"2.525",2,1
"21",11.5817927637023,12.3150874065844,0.733294642882088,0.0106998402960098,"2.525",3,1
"22",11.5643244737388,12.2954231891362,0.731098715397422,0.0107555143690018,"2.525",4,1
"23",11.5432866888429,12.277137601822,0.733850912979081,0.0110286550772848,"2.525",5,1
"24",11.5219655820859,12.2596494097342,0.737683827648251,0.010838506882065,"2.525",6,1
"25",11.7110427549524,12.3625646518899,0.651521896937425,0.0114186841698019,"3",1,1
"26",11.6078785492342,12.334503037065,0.72662448783076,0.0113541764419882,"3",2,1
"27",11.5778304413856,12.313609367545,0.735778926159377,0.0115543513072934,"3",3,1
"28",11.5602921873966,12.2941498325463,0.733857645149683,0.0118447780181041,"3",4,1
"29",11.5422522510419,12.2760514438898,0.733799192847833,0.0118227803630011,"3",5,1
"30",11.5251596231827,12.2578464439413,0.732686820758651,0.0116414642541304,"3",6,1
"31",11.7054802823728,12.3715947084744,0.666114426101537,0.0112309722944952,"1.1",1,2
"32",11.6234967992134,12.3449105590529,0.721413759839519,0.0116309292116774,"1.1",2,2
"33",11.5957265480272,12.3302900665229,0.73456351849569,0.0120698885444246,"1.1",3,2
"34",11.5767438730026,12.3160527132238,0.73930884022127,0.0123750524970873,"1.1",4,2
"35",11.5642992931018,12.2987431127757,0.734443819673933,0.0126571212413273,"1.1",5,2
"36",11.5507327573024,12.2825425310487,0.731809773746317,0.0127061068507687,"1.1",6,2
"37",11.7054802823728,12.3727410857226,0.667260803349738,0.0114436308937233,"1.575",1,2
"38",11.6181231383413,12.3465111594921,0.728388021150831,0.0118213150354531,"1.575",2,2
"39",11.5909112469791,12.3266937911011,0.735782544122063,0.0116876324287152,"1.575",3,2
"40",11.5735792172241,12.3082125602831,0.734633343058949,0.0118170170220091,"1.575",4,2
"41",11.5516127941974,12.292016457966,0.740403663768548,0.0117067241543396,"1.575",5,2
"42",11.5316421184601,12.2759376383798,0.74429551991974,0.0118552723705867,"1.575",6,2
"43",11.7054802823728,12.3715568782815,0.666076595908674,0.0119638931591022,"2.05",1,2
"44",11.6181231383413,12.3448120460755,0.726688907734172,0.0117213227073856,"2.05",2,2
"45",11.5909112469791,12.3239680934457,0.733056846466644,0.0115712048665866,"2.05",3,2
"46",11.5611779367632,12.3042394264868,0.743061489723647,0.0113177864800099,"2.05",4,2
"47",11.5426561408411,12.2873709672721,0.744714826431073,0.0116132684373061,"2.05",5,2
"48",11.5301960727007,12.2704171201067,0.740221047405935,0.0117338593785602,"2.05",6,2
"49",11.7054802823728,12.3694379744915,0.663957692118698,0.0111164381542364,"2.525",1,2
"50",11.6181231383413,12.3423949974815,0.724271859140169,0.0110959977620999,"2.525",2,2
"51",11.5852994598385,12.3208286446995,0.735529184861011,0.0111533621234101,"2.525",3,2
"52",11.5553962967126,12.3012224234297,0.745826126717143,0.0110318241492412,"2.525",4,2
"53",11.5391843303055,12.2829557107556,0.74377138045018,0.0112705899963751,"2.525",5,2
"54",11.5234972573893,12.2654027396154,0.741905482226169,0.0120132735982081,"2.525",6,2
"55",11.7054802823728,12.3743145426369,0.668834260264118,0.0098670856257319,"3",1,2
"56",11.6051185918683,12.3467248440253,0.741606252156963,0.0103609369197425,"3",2,2
"57",11.5828743502525,12.3256088231585,0.742734472906056,0.010649542854882,"3",3,2
"58",11.5598570379142,12.3061356932431,0.746278655328851,0.0106566182075388,"3",4,2
"59",11.5456893341911,12.2874167061243,0.741727371933292,0.0105738156698444,"3",5,2
"60",11.5303623842172,12.2698702458743,0.739507861657142,0.0104758211795475,"3",6,2
"61",11.7323923897708,12.3897059332161,0.657313543445204,0.0119589842164802,"1.1",1,3
"62",11.6607732849106,12.3625591981946,0.701785913284043,0.0119939306237475,"1.1",2,3
